! Planar, C4420, 00000001, 24.1.6/3
! Date: 25.09.2024 16:59:15
! Stimulus(Гц),    S21(дБ)
8.67765042980E+09,+0.00000000000E+00
8.71633237822E+09,+0.00000000000E+00
8.75501432665E+09,+0.00000000000E+00
8.79369627507E+09,+0.00000000000E+00
8.83237822350E+09,+0.00000000000E+00
8.87106017192E+09,+0.00000000000E+00
8.90974212034E+09,+0.00000000000E+00
8.94842406877E+09,+0.00000000000E+00
8.98710601719E+09,+0.00000000000E+00
9.02578796562E+09,+0.00000000000E+00
9.06446991404E+09,+0.00000000000E+00
9.10315186246E+09,+0.00000000000E+00
9.14183381089E+09,-9.64327466553E-16
9.18051575931E+09,+0.00000000000E+00
9.21919770774E+09,+0.00000000000E+00
9.25787965616E+09,+0.00000000000E+00
9.29656160458E+09,-9.64327466553E-16
9.33524355301E+09,+0.00000000000E+00
9.37392550143E+09,-9.64327466553E-16
9.41260744986E+09,+0.00000000000E+00
9.45128939828E+09,+0.00000000000E+00
9.48997134670E+09,+0.00000000000E+00
9.52865329513E+09,+0.00000000000E+00
9.56733524355E+09,+0.00000000000E+00
9.60601719198E+09,+0.00000000000E+00
9.64469914040E+09,+0.00000000000E+00
9.68338108883E+09,+0.00000000000E+00
9.72206303725E+09,+0.00000000000E+00
9.76074498567E+09,+0.00000000000E+00
9.79942693410E+09,+0.00000000000E+00
9.83810888252E+09,+0.00000000000E+00
9.87679083095E+09,+0.00000000000E+00
9.91547277937E+09,+0.00000000000E+00
9.95415472779E+09,+0.00000000000E+00
9.99283667622E+09,+0.00000000000E+00
1.00315186246E+10,+0.00000000000E+00
1.00702005731E+10,+0.00000000000E+00
1.01088825215E+10,+0.00000000000E+00
1.01475644699E+10,+0.00000000000E+00
1.01862464183E+10,+0.00000000000E+00
1.02249283668E+10,+0.00000000000E+00
1.02636103152E+10,+0.00000000000E+00
1.03022922636E+10,-9.64327466553E-16
1.03409742120E+10,+0.00000000000E+00
1.03796561605E+10,+0.00000000000E+00
1.04183381089E+10,+0.00000000000E+00
1.04570200573E+10,+0.00000000000E+00
1.04957020057E+10,-9.64327466553E-16
1.05343839542E+10,+0.00000000000E+00
1.05730659026E+10,+0.00000000000E+00
1.06117478510E+10,+0.00000000000E+00
1.06504297994E+10,+0.00000000000E+00
1.06891117479E+10,-9.64327466553E-16
1.07277936963E+10,+0.00000000000E+00
1.07664756447E+10,+0.00000000000E+00
1.08051575931E+10,+0.00000000000E+00
1.08438395415E+10,+0.00000000000E+00
1.08825214900E+10,-9.64327466553E-16
1.09212034384E+10,+0.00000000000E+00
1.09598853868E+10,+0.00000000000E+00
1.09985673352E+10,+0.00000000000E+00
1.10372492837E+10,+0.00000000000E+00
1.10759312321E+10,+0.00000000000E+00
1.11146131805E+10,+0.00000000000E+00
1.11532951289E+10,+0.00000000000E+00
1.11919770774E+10,+0.00000000000E+00
1.12306590258E+10,+0.00000000000E+00
1.12693409742E+10,+0.00000000000E+00
1.13080229226E+10,+0.00000000000E+00
1.13467048711E+10,+0.00000000000E+00
1.13853868195E+10,+0.00000000000E+00
1.14240687679E+10,+0.00000000000E+00
1.14627507163E+10,+0.00000000000E+00
1.15014326648E+10,-9.64327466553E-16
1.15401146132E+10,+0.00000000000E+00
1.15787965616E+10,+0.00000000000E+00
1.16174785100E+10,+0.00000000000E+00
1.16561604585E+10,+0.00000000000E+00
1.16948424069E+10,+0.00000000000E+00
1.17335243553E+10,+0.00000000000E+00
1.17722063037E+10,+0.00000000000E+00
1.18108882521E+10,+0.00000000000E+00
1.18495702006E+10,+0.00000000000E+00
1.18882521490E+10,+0.00000000000E+00
1.19269340974E+10,+0.00000000000E+00
1.19656160458E+10,+0.00000000000E+00
1.20042979943E+10,+0.00000000000E+00
1.20429799427E+10,+0.00000000000E+00
1.20816618911E+10,-9.64327466553E-16
1.21203438395E+10,+0.00000000000E+00
1.21590257880E+10,+0.00000000000E+00
1.21977077364E+10,+0.00000000000E+00
1.22363896848E+10,-9.64327466553E-16
1.22750716332E+10,+0.00000000000E+00
1.23137535817E+10,+0.00000000000E+00
1.23524355301E+10,+0.00000000000E+00
1.23911174785E+10,+0.00000000000E+00
1.24297994269E+10,+0.00000000000E+00
1.24684813754E+10,+0.00000000000E+00
1.25071633238E+10,+0.00000000000E+00
1.25458452722E+10,+0.00000000000E+00
1.25845272206E+10,+0.00000000000E+00
1.26232091691E+10,+0.00000000000E+00
1.26618911175E+10,+0.00000000000E+00
1.27005730659E+10,+0.00000000000E+00
1.27392550143E+10,+0.00000000000E+00
1.27779369628E+10,+0.00000000000E+00
1.28166189112E+10,+0.00000000000E+00
1.28553008596E+10,+0.00000000000E+00
1.28939828080E+10,+0.00000000000E+00
1.29326647564E+10,-9.64327466553E-16
1.29713467049E+10,+0.00000000000E+00
1.30100286533E+10,+0.00000000000E+00
1.30487106017E+10,+0.00000000000E+00
1.30873925501E+10,+0.00000000000E+00
1.31260744986E+10,+0.00000000000E+00
1.31647564470E+10,+0.00000000000E+00
1.32034383954E+10,+0.00000000000E+00
1.32421203438E+10,+0.00000000000E+00
1.32808022923E+10,+0.00000000000E+00
1.33194842407E+10,+0.00000000000E+00
1.33581661891E+10,+0.00000000000E+00
1.33968481375E+10,-9.64327466553E-16
1.34355300860E+10,+0.00000000000E+00
1.34742120344E+10,+0.00000000000E+00
1.35128939828E+10,+0.00000000000E+00
1.35515759312E+10,+0.00000000000E+00
1.35902578797E+10,-9.64327466553E-16
1.36289398281E+10,+0.00000000000E+00
1.36676217765E+10,-9.64327466553E-16
1.37063037249E+10,+0.00000000000E+00
1.37449856734E+10,-9.64327466553E-16
1.37836676218E+10,+0.00000000000E+00
1.38223495702E+10,+0.00000000000E+00
1.38610315186E+10,+0.00000000000E+00
1.38997134670E+10,+0.00000000000E+00
1.39383954155E+10,+0.00000000000E+00
1.39770773639E+10,+0.00000000000E+00
1.40157593123E+10,+0.00000000000E+00
1.40544412607E+10,+0.00000000000E+00
1.40931232092E+10,+0.00000000000E+00
1.41318051576E+10,+0.00000000000E+00
1.41704871060E+10,+0.00000000000E+00
1.42091690544E+10,+0.00000000000E+00
1.42478510029E+10,+0.00000000000E+00
1.42865329513E+10,+0.00000000000E+00
1.43252148997E+10,+0.00000000000E+00
1.43638968481E+10,+0.00000000000E+00
1.44025787966E+10,+0.00000000000E+00
1.44412607450E+10,+0.00000000000E+00
1.44799426934E+10,-9.64327466553E-16
1.45186246418E+10,+0.00000000000E+00
1.45573065903E+10,+0.00000000000E+00
1.45959885387E+10,+0.00000000000E+00
1.46346704871E+10,+0.00000000000E+00
1.46733524355E+10,+0.00000000000E+00
1.47120343840E+10,+0.00000000000E+00
1.47507163324E+10,-9.64327466553E-16
1.47893982808E+10,+0.00000000000E+00
1.48280802292E+10,+0.00000000000E+00
1.48667621777E+10,+0.00000000000E+00
1.49054441261E+10,+0.00000000000E+00
1.49441260745E+10,+0.00000000000E+00
1.49828080229E+10,+0.00000000000E+00
1.50214899713E+10,+0.00000000000E+00
1.50601719198E+10,-9.64327466553E-16
1.50988538682E+10,+0.00000000000E+00
1.51375358166E+10,+0.00000000000E+00
1.51762177650E+10,+0.00000000000E+00
1.52148997135E+10,-9.64327466553E-16
1.52535816619E+10,+0.00000000000E+00
1.52922636103E+10,+0.00000000000E+00
1.53309455587E+10,+0.00000000000E+00
1.53696275072E+10,-9.64327466553E-16
1.54083094556E+10,+0.00000000000E+00
1.54469914040E+10,+0.00000000000E+00
1.54856733524E+10,+0.00000000000E+00
1.55243553009E+10,+0.00000000000E+00
1.55630372493E+10,-9.64327466553E-16
1.56017191977E+10,+0.00000000000E+00
1.56404011461E+10,+0.00000000000E+00
1.56790830946E+10,-9.64327466553E-16
1.57177650430E+10,+0.00000000000E+00
1.57564469914E+10,+0.00000000000E+00
1.57951289398E+10,+0.00000000000E+00
1.58338108883E+10,-9.64327466553E-16
1.58724928367E+10,+0.00000000000E+00
1.59111747851E+10,+0.00000000000E+00
1.59498567335E+10,+0.00000000000E+00
1.59885386819E+10,+0.00000000000E+00
1.60272206304E+10,+0.00000000000E+00
1.60659025788E+10,+0.00000000000E+00
1.61045845272E+10,+0.00000000000E+00
1.61432664756E+10,-9.64327466553E-16
1.61819484241E+10,+0.00000000000E+00
1.62206303725E+10,+0.00000000000E+00
1.62593123209E+10,-9.64327466553E-16
1.62979942693E+10,+0.00000000000E+00
1.63366762178E+10,+0.00000000000E+00
1.63753581662E+10,+0.00000000000E+00
1.64140401146E+10,+0.00000000000E+00
1.64527220630E+10,-9.64327466553E-16
1.64914040115E+10,+0.00000000000E+00
1.65300859599E+10,+0.00000000000E+00
1.65687679083E+10,+0.00000000000E+00
1.66074498567E+10,+0.00000000000E+00
1.66461318052E+10,+0.00000000000E+00
1.66848137536E+10,+0.00000000000E+00
1.67234957020E+10,+0.00000000000E+00
1.67621776504E+10,+0.00000000000E+00
1.68008595989E+10,+0.00000000000E+00
1.68395415473E+10,+0.00000000000E+00
1.68782234957E+10,+0.00000000000E+00
1.69169054441E+10,-9.64327466553E-16
1.69555873926E+10,+0.00000000000E+00
1.69942693410E+10,-9.64327466553E-16
1.70329512894E+10,+0.00000000000E+00
1.70716332378E+10,-9.64327466553E-16
1.71103151862E+10,+0.00000000000E+00
1.71489971347E+10,+0.00000000000E+00
1.71876790831E+10,+0.00000000000E+00
1.72263610315E+10,+0.00000000000E+00
1.72650429799E+10,+0.00000000000E+00
1.73037249284E+10,+0.00000000000E+00
1.73424068768E+10,+0.00000000000E+00
1.73810888252E+10,+0.00000000000E+00
1.74197707736E+10,+0.00000000000E+00
1.74584527221E+10,+0.00000000000E+00
1.74971346705E+10,+0.00000000000E+00
1.75358166189E+10,+0.00000000000E+00
1.75744985673E+10,+0.00000000000E+00
1.76131805158E+10,+0.00000000000E+00
1.76518624642E+10,+0.00000000000E+00
1.76905444126E+10,+0.00000000000E+00
1.77292263610E+10,+0.00000000000E+00
1.77679083095E+10,+0.00000000000E+00
1.78065902579E+10,+0.00000000000E+00
1.78452722063E+10,+0.00000000000E+00
1.78839541547E+10,-9.64327466553E-16
1.79226361032E+10,+0.00000000000E+00
1.79613180516E+10,+0.00000000000E+00
1.80000000000E+10,-9.64327466553E-16
